Id,Label,timeset,hash,member,stakes,weighted degree,modularity_class,pageranks
210,210,,0x847e87c5df4ec222a0ee46db18afa3bcc79883eb,1,0,0,200,0.001301
211,211,,0x849dc4a4180075e568315c811a8dfad813236d9b,1,0,0,201,0.001301
212,212,,0x8644daa288acb539a07d3dceb6d58f7a2af60c3d,1,0,0,202,0.001301
213,213,,0x866db98fae3fafc84ebd9535a262da858805b17a,1,0,0,203,0.001301
214,214,,0x86ccf261bb4240e2df95817c6a2e73e16e749ac2,1,0,0,204,0.001301
215,215,,0x8761e0dd63d14cf566acf4b730f3540f164b6b56,1,0,0,205,0.001301
216,216,,0x87783da4c3c23b0515f074ae82957771992222f3,1,0,0,206,0.001301
217,217,,0x87bdb4879138276e241116d54c7f67c3bb375593,1,0,0,207,0.001301
218,218,,0x884cadd01715854b83779e835473960ec8ef59e0,1,0,0,208,0.001301
219,219,,0x88586b83d111887b97cf975fb172d178ffc3565a,1,0,0,209,0.001301
220,220,,0x885fe0722ebaa70c5b4194b3549b0e7447930d7a,1,0,0,210,0.001301
221,221,,0x88f1706c20d94a4d1551c5f799c9e3380a24c3ac,1,0,0,211,0.001301
222,222,,0x8a9bcdc68d19e111663d6c986caf1da1eda1c304,1,0,0,212,0.001301
223,223,,0x8ab0fe3d61e372a0caa2b2acf6d1ffdefd1c645a,1,0,0,213,0.001301
224,224,,0x8adb56b4bdeea07e7ecc11a07c283d940237d4d5,1,0,0,214,0.001301
225,225,,0x8bce57b7b84218397ffb6cefae99f4792ee8161d,1,0,0,215,0.001301
226,226,,0x8c14fff372813ca9ccfab0c7de806a3feda1b3d8,1,0,0,216,0.001301
227,227,,0x8db6b632d743aef641146dc943acb64957155388,1,0,0,217,0.001301
228,228,,0x8fae2df5b0c5bbb7fc31dddec9bf045c55642bd0,1,0,0,218,0.001301
229,229,,0x901e9ffe28c136759399025ef9d2da2ca9089bd2,1,0,0,219,0.001301
230,230,,0x902d39a1866d0fa9a1ed0d6e6538338c4ed6ebf3,1,0,0,220,0.001301
231,231,,0x905185374ac57203dd7a5ceeb6c0ca8e17fb86b1,1,0,0,221,0.001301
232,232,,0x91323447dd945d0efebd0eb4d9dad7c8478a40bd,1,0,0,222,0.001301
233,233,,0x91628ddc3a6ff9b48a2f34fc315d243eb07a9501,1,19,10,252,0.006541
234,234,,0x916ef7316423b84c3fec35d8914af1e0a17c56b8,1,0,0,223,0.001301
235,235,,0x920afee8d725767065be7de1e02722bba4b47ca9,1,0,0,224,0.001301
236,236,,0x92357e8fa53908baa5d8606b016b15ee89a0b885,1,0,0,225,0.001301
237,237,,0x93d29542401c00f1431fd1c80b634697e5645c59,1,2,2,386,0.004109
238,238,,0x952d13d6f71b4a1399bbac77f07e4ca1ba48d22e,1,0,0,226,0.001301
239,239,,0x9563c6f3948d9287c3b3d1313d4996aab5edefc9,1,0,0,227,0.001301
240,240,,0x9570095e876e44cb6bd958d93944a2581d44aedc,1,0,0,228,0.001301
241,241,,0x957d35d13687582773fc0cf11211de159ca649f2,1,0,0,229,0.001301
242,242,,0x9671a3fbbfb13d68e5770afed424f8915ea0ada3,1,0,0,230,0.001301
243,243,,0x978aad63fe35f7a72573c411c3dff53608aaeac9,1,0,0,231,0.001301
244,244,,0x97d89390a4b486da774953ea0799bbd30eba30aa,1,0,0,232,0.001301
245,245,,0x9885a84930e3c8c865a1d3debdc204f990bab7c3,1,0,0,233,0.001301
246,246,,0x9954154fb679105b06f16acad24c2fc159c4248e,1,0,0,234,0.001301
247,247,,0x9a94ac82b17e67f7dff81912de68eb74ca20e6c3,1,0,0,235,0.001301
248,248,,0x9ad6bb93353dbab28f37e3d0b3c57acd4b445961,1,2,2,387,0.008651
249,249,,0x9c5083dd4838e120dbeac44c052179692aa5dac5,1,0,0,236,0.001301
