Id,Label,timeset,hash,reputation,pageranks,weighted degree
170,170,,0xb950e0e108546743af96eb493d4ff2abc63816db,13.320768,0.003206,25
171,171,,0xb9c4d61f1b4ff774c7f79f0cc34ad6a62f6156ec,7.659017,0.00117,0
172,172,,0xba52487ead64fcf6c1d1707f842bdf4540004f25,29.525163,0.004012,36
173,173,,0xba527d8301178a03a6993ab5a08cab06b975d5ae,12.071018,0.006415,65
174,174,,0xbaaea72417f4dc3e0f52a1783b0913d0f3516634,20.161611,0.014207,155
175,175,,0xbad2280a4aba40be20ffec08b8cdf9f5d2a98151,11.829962,0.00117,0
176,176,,0xbaf6e57a3940898fd21076b139d4ab231dcbbc5f,18.958486,0.00117,0
177,177,,0xbbaac64b4e4499aa40db238faa8ac00bac50811b,41.254083,0.001756,7
178,178,,0xbc8dafeaca658ae0857c80d8aa6de4d487577c63,6.988632,0.00253,17
179,179,,0xbe1a98d3452f6da6e0984589e545d4fc25af7526,15.166718,0.00117,0
180,180,,0xbf304ecfbfb2e68d088a88d5884dd30c144c9915,11.37495,0.007753,78
181,181,,0xbf5cbde7fdf0b5fa09ce61e50ad46632a09312e9,11.37495,0.00117,0
182,182,,0xbfa43bf6e9fb6d5cc253ff23c31f2b86a739bb98,21.233547,0.001855,9
183,183,,0xc16c8702a1d50a92669ed0f970d6e1f7dae74c44,14.61312,0.004607,41
184,184,,0xc2536854fd70e80b57de8372146fc3ca04dde94d,11.829962,0.00117,0
185,185,,0xc2fedac0de1c7f09582d248bc01dc603752d5739,11.829962,0.00117,0
186,186,,0xc4798b79d22630cee83b4ecb0fd98cd5ff0fbb62,11.37495,0.003846,32
187,187,,0xc4d9d1a93068d311ab18e988244123430eb4f1cd,58.284482,0.058922,700
188,188,,0xc6bf8b8116656ce800701c4d8b647cf68ffdae37,9.130223,0.00117,0
189,189,,0xc7b51a1637f86f130686eebd1aae67c051888351,11.609945,0.001989,9
190,190,,0xc7c065ee9e71364a0c72a8a9c26c95c42b94e7f7,11.37495,0.00117,0
